Partition_File,BayesianNetwork,MultiLayerPerceptron,AdaBoost,KNN,RandomForest,SVM,NaiveBayes,LDA,Maximum
Partition_50.csv,0.868,0.6282,0.87867,0.81267,0.8566,0.5,0.79733,0.86267,0.87867
Partition_51.csv,0.858,0.56361,0.90356,0.81067,0.85137,0.5,0.8097,0.87819,0.90356
Partition_52.csv,0.85,0.57,0.84667,0.80376,0.82323,0.5,0.79725,0.84514,0.85
Partition_53.csv,0.841,0.56049,0.82292,0.80592,0.82741,0.5,0.7941,0.81873,0.841
Partition_54.csv,0.847,0.61295,0.82451,0.81156,0.82012,0.5,0.78132,0.83971,0.847
Partition_55.csv,0.856,0.57417,0.77387,0.80119,0.81581,0.5,0.77111,0.83667,0.856
Partition_56.csv,0.841,0.60417,0.77238,0.79905,0.78706,0.5,0.76845,0.83944,0.841
Partition_57.csv,0.846,0.57388,0.78722,0.80127,0.80809,0.5,0.77639,0.83262,0.846
Partition_58.csv,0.836,0.56968,0.80032,0.78452,0.79618,0.5,0.76115,0.84492,0.84492
Partition_59.csv,0.838,0.56058,0.82373,0.78881,0.81514,0.5,0.78028,0.81556,0.838
Partition_60.csv,0.84,0.6006,0.86071,0.79881,0.81714,0.5,0.79107,0.81429,0.86071
Partition_61.csv,0.824,0.605,0.83927,0.79583,0.83096,0.5,0.77516,0.83709,0.83927
Partition_62.csv,0.825,0.60195,0.80561,0.78173,0.80576,0.5,0.77405,0.83872,0.83872
Partition_63.csv,0.836,0.59998,0.81388,0.77693,0.80702,0.5,0.78653,0.81837,0.836
Partition_64.csv,0.836,0.59635,0.82248,0.78498,0.81459,0.5,0.79364,0.80699,0.836
Partition_65.csv,0.831,0.63675,0.82829,0.76746,0.82387,0.5,0.78335,0.82084,0.831
Partition_66.csv,0.844,0.60596,0.84194,0.77139,0.82681,0.5,0.81372,0.83373,0.844
Partition_67.csv,0.825,0.59698,0.85194,0.7781,0.83512,0.5,0.8092,0.79193,0.85194
Partition_68.csv,0.837,0.59924,0.83344,0.78545,0.84654,0.5,0.7958,0.78059,0.84654
Partition_69.csv,0.828,0.58711,0.84019,0.79103,0.839,0.5,0.79195,0.78773,0.84019
Partition_70.csv,0.841,0.62451,0.85165,0.77912,0.83203,0.5,0.7956,0.77802,0.85165
Partition_71.csv,0.838,0.58395,0.82595,0.77871,0.82476,0.5,0.79535,0.7696,0.838
Partition_72.csv,0.835,0.60777,0.78965,0.77319,0.83823,0.5,0.78935,0.74844,0.83823
Partition_73.csv,0.835,0.6017,0.82474,0.76138,0.82542,0.5,0.778,0.75682,0.835
Partition_74.csv,0.844,0.59711,0.83027,0.75204,0.84233,0.5,0.77491,0.77958,0.844
Partition_75.csv,0.839,0.60181,0.83876,0.75808,0.83857,0.5,0.7416,0.76777,0.839
Partition_76.csv,0.831,0.5954,0.80707,0.75424,0.82434,0.5,0.73722,0.77563,0.831
Partition_77.csv,0.834,0.59661,0.81786,0.76591,0.83791,0.5,0.7387,0.7808,0.83791
Partition_78.csv,0.832,0.60422,0.82082,0.77108,0.83872,0.5,0.73458,0.78152,0.83872
Partition_79.csv,0.842,0.63457,0.8187,0.76567,0.83799,0.5,0.73882,0.78023,0.842
Partition_80.csv,0.844,0.60073,0.84375,0.77656,0.85255,0.5,0.74219,0.76979,0.85255
Partition_81.csv,0.855,0.62329,0.82573,0.77355,0.85167,0.5,0.73785,0.78773,0.855
Partition_82.csv,0.842,0.59069,0.81308,0.7783,0.8462,0.5,0.73571,0.77207,0.8462
Partition_83.csv,0.833,0.58704,0.81414,0.75821,0.8498,0.5,0.75084,0.76753,0.8498
Partition_84.csv,0.826,0.57298,0.83683,0.75846,0.85787,0.5,0.74894,0.76028,0.85787
Partition_85.csv,0.829,0.60921,0.83935,0.76759,0.84303,0.5,0.74802,0.75269,0.84303
Partition_86.csv,0.834,0.59261,0.82269,0.77052,0.83551,0.5,0.7536,0.75791,0.83551
