Partition_File,BayesianNetwork,MultiLayerPerceptron,AdaBoost,KNN,RandomForest,SVM,NaiveBayes,LDA,Maximum
Partition_50.csv,0.868,0.63467,0.87867,0.81267,0.822,0.5,0.79733,0.86267,0.87867
Partition_51.csv,0.858,0.57519,0.90356,0.81067,0.84319,0.5,0.8097,0.87819,0.90356
Partition_52.csv,0.85,0.62429,0.84667,0.80376,0.77495,0.5,0.79725,0.84514,0.85
Partition_53.csv,0.841,0.58576,0.82292,0.80592,0.81633,0.5,0.7941,0.81873,0.841
Partition_54.csv,0.847,0.563,0.82451,0.81156,0.82848,0.5,0.78132,0.83971,0.847
Partition_55.csv,0.856,0.63913,0.77302,0.80119,0.80738,0.5,0.77111,0.83667,0.856
Partition_56.csv,0.841,0.64278,0.77238,0.79905,0.81198,0.5,0.76845,0.83944,0.841
Partition_57.csv,0.846,0.56329,0.78722,0.80127,0.82452,0.5,0.77639,0.83262,0.846
Partition_58.csv,0.836,0.5979,0.80032,0.78452,0.79639,0.5,0.76115,0.84492,0.84492
Partition_59.csv,0.838,0.59218,0.82373,0.78881,0.78079,0.5,0.78028,0.81556,0.838
Partition_60.csv,0.84,0.56845,0.86071,0.79881,0.79881,0.5,0.79107,0.81429,0.86071
Partition_61.csv,0.824,0.56039,0.84451,0.79583,0.82023,0.5,0.77516,0.83709,0.84451
Partition_62.csv,0.825,0.62394,0.80561,0.78173,0.81699,0.5,0.77405,0.83872,0.83872
Partition_63.csv,0.836,0.5534,0.80912,0.77693,0.79748,0.5,0.78653,0.81837,0.836
Partition_64.csv,0.836,0.58864,0.81555,0.78498,0.82157,0.5,0.79364,0.80699,0.836
Partition_65.csv,0.831,0.58872,0.82983,0.76746,0.83791,0.5,0.78335,0.82084,0.83791
Partition_66.csv,0.844,0.62159,0.84464,0.77139,0.836,0.5,0.81372,0.83373,0.84464
Partition_67.csv,0.825,0.61427,0.85194,0.7781,0.83012,0.5,0.8092,0.79193,0.85194
Partition_68.csv,0.837,0.61711,0.83344,0.78545,0.83484,0.5,0.7958,0.78059,0.837
Partition_69.csv,0.828,0.614,0.84129,0.79103,0.86613,0.5,0.79195,0.78773,0.86613
Partition_70.csv,0.841,0.65275,0.85165,0.77912,0.83846,0.5,0.7956,0.77802,0.85165
Partition_71.csv,0.838,0.65275,0.82262,0.77871,0.82047,0.5,0.79535,0.7696,0.838
Partition_72.csv,0.835,0.69336,0.78965,0.77319,0.83075,0.5,0.78935,0.74844,0.835
Partition_73.csv,0.835,0.58917,0.82299,0.76138,0.80293,0.5,0.778,0.75682,0.835
Partition_74.csv,0.844,0.61293,0.83027,0.75204,0.83864,0.5,0.77491,0.77958,0.844
Partition_75.csv,0.839,0.61181,0.84432,0.75808,0.85639,0.5,0.7416,0.76777,0.85639
Partition_76.csv,0.831,0.62946,0.80812,0.75424,0.83914,0.5,0.73722,0.77563,0.83914
Partition_77.csv,0.834,0.61177,0.82098,0.76591,0.81415,0.5,0.7387,0.7808,0.834
Partition_78.csv,0.832,0.61434,0.82082,0.77108,0.8348,0.5,0.73458,0.78152,0.8348
Partition_79.csv,0.842,0.59096,0.8187,0.76567,0.83235,0.5,0.73882,0.78023,0.842
Partition_80.csv,0.844,0.66458,0.84375,0.77656,0.88281,0.5,0.74219,0.76979,0.88281
Partition_81.csv,0.855,0.66035,0.82573,0.77355,0.84478,0.5,0.73785,0.78773,0.855
Partition_82.csv,0.842,0.61483,0.81308,0.7783,0.83282,0.5,0.73571,0.77207,0.842
Partition_83.csv,0.833,0.59229,0.81906,0.75821,0.85962,0.5,0.75084,0.76753,0.85962
Partition_84.csv,0.826,0.65212,0.83683,0.75846,0.82905,0.5,0.74894,0.76028,0.83683
Partition_85.csv,0.829,0.60562,0.83855,0.76759,0.84392,0.5,0.74802,0.75269,0.84392
Partition_86.csv,0.834,0.59249,0.82269,0.77052,0.85072,0.5,0.7536,0.75791,0.85072
Partition_87.csv,0.824,0.55871,0.80892,0.75842,0.83056,0.5,0.74082,0.7346,0.83056
Partition_88.csv,0.821,0.65324,0.81279,0.75208,0.8141,0.5,0.72799,0.73885,0.821
Partition_89.csv,0.822,0.65501,0.80139,0.76574,0.83527,0.5,0.73312,0.74306,0.83527
Partition_90.csv,0.824,0.56768,0.83131,0.76616,0.84444,0.5,0.74242,0.73838,0.84444
Partition_91.csv,0.826,0.58232,0.81121,0.76025,0.83056,0.5,0.73384,0.74313,0.83056
Partition_92.csv,0.816,0.63273,0.8498,0.75177,0.83394,0.5,0.73869,0.75121,0.8498
Partition_93.csv,0.824,0.7302,0.81364,0.74813,0.80389,0.5,0.74076,0.74192,0.824
Partition_94.csv,0.825,0.62409,0.81788,0.76354,0.81429,0.5,0.73949,0.73333,0.825
Partition_95.csv,0.827,0.54106,0.83505,0.77364,0.83404,0.5,0.74263,0.72192,0.83505
Partition_96.csv,0.824,0.63133,0.82651,0.77547,0.83693,0.5,0.74526,0.7216,0.83693
Partition_97.csv,0.817,0.6399,0.81351,0.76495,0.82662,0.5,0.74957,0.73741,0.82662
Partition_98.csv,0.814,0.59832,0.81192,0.7641,0.81043,0.5,0.75698,0.7371,0.814
Partition_99.csv,0.807,0.63973,0.83042,0.76381,0.84184,0.491,0.75145,0.73826,0.84184
